stock,minute,side,twap_price,adaptive_price,improvement,chosen_time,chosen_regime,chosen_reason,pred_regret
AMZN,1900-01-01 12:39:00,BUY,222.45,222.44,0.009999999999990905,12:39:09.398,0,global_ridge_trigger,0.0028863356373687588
AMZN,1900-01-01 12:40:00,BUY,222.54,222.54,0.0,12:40:01.032,0,fallback_twap_no_trigger,0.0755677339306983
AMZN,1900-01-01 12:41:00,BUY,222.54,222.54,0.0,12:41:00.098,0,fallback_twap_no_trigger,0.09227363678789949
AMZN,1900-01-01 12:42:00,BUY,222.43,222.43,0.0,12:42:00.510,0,fallback_twap_no_trigger,0.057213921038674204
AMZN,1900-01-01 12:43:00,BUY,222.62,222.57,0.05000000000001137,12:43:54.278,2,global_ridge_trigger,0.0027344603424422076
AMZN,1900-01-01 12:44:00,BUY,222.53,222.53,0.0,12:44:00.212,3,fallback_twap_no_trigger,0.06132231933614066
AMZN,1900-01-01 12:45:00,BUY,222.38,222.36,0.01999999999998181,12:45:25.965,3,global_ridge_trigger,0.0008101324311266256
AMZN,1900-01-01 12:46:00,BUY,222.53,222.52,0.009999999999990905,12:46:01.851,3,global_ridge_trigger,0.0028096285780341568
AMZN,1900-01-01 12:47:00,BUY,222.68,222.68,0.0,12:47:00.194,3,fallback_twap_no_trigger,0.058721916459668094
AMZN,1900-01-01 12:48:00,BUY,222.64,222.64,0.0,12:48:00.733,3,fallback_twap_no_trigger,0.06846149344891886
AMZN,1900-01-01 12:49:00,BUY,222.32,222.32,0.0,12:49:00.002,3,fallback_twap_no_trigger,0.06351284056911524
AMZN,1900-01-01 12:50:00,BUY,222.38,222.38,0.0,12:50:07.362,0,fallback_twap_no_trigger,0.03921702695246601
AMZN,1900-01-01 12:51:00,BUY,222.38,222.42,-0.03999999999999204,12:51:30.417,4,global_ridge_trigger,-0.007962755195264654
AMZN,1900-01-01 12:52:00,BUY,222.54,222.54,0.0,12:52:01.864,0,fallback_twap_no_trigger,0.09275034860566314
AMZN,1900-01-01 12:53:00,BUY,222.6,222.6,0.0,12:53:01.419,3,fallback_twap_no_trigger,0.09202417140649247
AMZN,1900-01-01 12:54:00,BUY,222.82,222.82,0.0,12:54:00.207,3,fallback_twap_no_trigger,0.10254365531870349
AMZN,1900-01-01 12:55:00,BUY,222.66,222.66,0.0,12:55:00.053,3,fallback_twap_no_trigger,0.0823507403238827
AMZN,1900-01-01 12:56:00,BUY,222.66,222.66,0.0,12:56:00.067,3,fallback_twap_no_trigger,0.04579904438703333
AMZN,1900-01-01 12:57:00,BUY,222.62,222.63,-0.009999999999990905,12:57:05.936,3,global_ridge_trigger,0.0041490399987328674
AMZN,1900-01-01 12:58:00,BUY,222.66,222.63,0.030000000000001137,12:58:32.018,3,global_ridge_trigger,-0.013729456773723364
AMZN,1900-01-01 12:59:00,BUY,222.67,222.7,-0.030000000000001137,12:59:45.004,3,global_ridge_trigger,-0.002887808682379339
AMZN,1900-01-01 13:00:00,BUY,222.71,222.57,0.14000000000001478,13:00:55.934,3,global_ridge_trigger,0.004970568607949005
AMZN,1900-01-01 13:01:00,BUY,222.66,222.66,0.0,13:01:00.293,3,fallback_twap_no_trigger,0.03527135118003724
AMZN,1900-01-01 13:02:00,BUY,222.59,222.59,0.0,13:02:04.313,3,global_ridge_trigger,0.004565550839058435
AMZN,1900-01-01 13:03:00,BUY,222.75,222.75,0.0,13:03:00.153,3,fallback_twap_no_trigger,0.07773111071559216
AMZN,1900-01-01 13:04:00,BUY,222.71,222.7,0.010000000000019327,13:04:34.768,2,global_ridge_trigger,0.0052279261053019
AMZN,1900-01-01 13:05:00,BUY,222.76,222.76,0.0,13:05:00.515,3,fallback_twap_no_trigger,0.06515979815847675
AMZN,1900-01-01 13:06:00,BUY,222.82,222.82,0.0,13:06:00.103,3,fallback_twap_no_trigger,0.044623462355018156
AMZN,1900-01-01 13:07:00,BUY,222.77,222.77,0.0,13:07:00.094,3,fallback_twap_no_trigger,0.042247739174469695
AMZN,1900-01-01 13:08:00,BUY,222.74,222.75,-0.009999999999990905,13:08:45.380,3,global_ridge_trigger,0.00028810137627302557
AMZN,1900-01-01 13:09:00,BUY,222.81,222.81,0.0,13:09:01.002,3,fallback_twap_no_trigger,0.037449995487146254
AMZN,1900-01-01 13:10:00,BUY,222.84,222.76,0.0800000000000125,13:10:20.003,3,global_ridge_trigger,0.0036029740728978077
AMZN,1900-01-01 13:11:00,BUY,222.8,222.71,0.09000000000000341,13:11:34.863,3,global_ridge_trigger,0.003287857588314985
AMZN,1900-01-01 13:12:00,BUY,222.72,222.72,0.0,13:12:00.136,3,global_ridge_trigger,0.00303620565562282
AMZN,1900-01-01 13:13:00,BUY,222.67,222.54,0.12999999999999545,13:13:35.056,3,global_ridge_trigger,0.005698364685468721
AMZN,1900-01-01 13:14:00,BUY,222.65,222.51,0.14000000000001478,13:14:02.653,3,global_ridge_trigger,0.0015293991910755589
AMZN,1900-01-01 13:15:00,BUY,222.64,222.74,-0.10000000000002274,13:15:48.552,3,global_ridge_trigger,0.0027346313017237167
AMZN,1900-01-01 13:16:00,BUY,222.78,222.64,0.14000000000001478,13:16:09.959,3,global_ridge_trigger,0.0013227462094360931
AMZN,1900-01-01 13:17:00,BUY,222.74,222.91,-0.1699999999999875,13:17:59.236,3,global_ridge_trigger,0.0015747158023783625
AMZN,1900-01-01 13:18:00,BUY,222.92,222.93,-0.010000000000019327,13:18:02.111,3,global_ridge_trigger,0.004334729944959009
AMZN,1900-01-01 13:19:00,BUY,222.83,222.6,0.2300000000000182,13:19:56.482,3,global_ridge_trigger,0.005270004746502327
AMZN,1900-01-01 13:20:00,BUY,222.67,222.59,0.07999999999998408,13:20:03.953,3,global_ridge_trigger,0.003207583563246935
AMZN,1900-01-01 13:21:00,BUY,222.64,222.64,0.0,13:21:10.470,2,global_ridge_trigger,0.00542212449943083
AMZN,1900-01-01 13:22:00,BUY,222.75,222.75,0.0,13:22:01.723,3,fallback_twap_no_trigger,0.053330380834045094
AMZN,1900-01-01 13:23:00,BUY,223.05,223.05,0.0,13:23:00.002,0,fallback_twap_no_trigger,0.06529232074653005
AMZN,1900-01-01 13:24:00,BUY,223.01,223.01,0.0,13:24:02.482,3,fallback_twap_no_trigger,0.045562639898141605
AMZN,1900-01-01 13:25:00,BUY,222.71,222.62,0.09000000000000341,13:25:25.044,3,global_ridge_trigger,0.0023072565788615773
AMZN,1900-01-01 13:26:00,BUY,222.73,222.73,0.0,13:26:00.004,3,fallback_twap_no_trigger,0.04754928545495776
AMZN,1900-01-01 13:27:00,BUY,222.71,222.71,0.0,13:27:01.875,3,fallback_twap_no_trigger,0.04442413914799018
AMZN,1900-01-01 13:28:00,BUY,222.57,222.66,-0.09000000000000341,13:28:49.605,3,global_ridge_trigger,0.002217825023095893
AMZN,1900-01-01 13:29:00,BUY,222.64,222.64,0.0,13:29:00.517,3,fallback_twap_no_trigger,0.052133512506140206
AMZN,1900-01-01 13:30:00,BUY,222.59,222.59,0.0,13:30:00.263,0,fallback_twap_no_trigger,0.05293326435768134
AMZN,1900-01-01 13:31:00,BUY,222.77,222.77,0.0,13:31:00.137,3,fallback_twap_no_trigger,0.0434363630464111
AMZN,1900-01-01 13:32:00,BUY,222.69,222.69,0.0,13:32:00.606,3,fallback_twap_no_trigger,0.0462937453838588
AMZN,1900-01-01 13:33:00,BUY,222.69,222.57,0.12000000000000455,13:33:14.161,0,global_ridge_trigger,-0.0018328450314112066
AMZN,1900-01-01 13:34:00,BUY,222.62,222.62,0.0,13:34:00.331,2,fallback_twap_no_trigger,0.021238289203726304
AMZN,1900-01-01 13:35:00,BUY,222.6,222.6,0.0,13:35:00.451,2,fallback_twap_no_trigger,0.07415710132505551
AMZN,1900-01-01 13:36:00,BUY,222.56,222.54,0.020000000000010232,13:36:39.273,0,global_ridge_trigger,0.002202328087311939
AMZN,1900-01-01 13:37:00,BUY,222.41,222.25,0.1599999999999966,13:37:29.650,3,global_ridge_trigger,-0.0006814915544619271
AMZN,1900-01-01 13:38:00,BUY,222.22,222.22,0.0,13:38:15.467,3,global_ridge_trigger,-0.007999926379612082
AMZN,1900-01-01 13:39:00,BUY,222.42,222.42,0.0,13:39:01.117,0,fallback_twap_no_trigger,0.07944752558204107
AMZN,1900-01-01 13:40:00,BUY,222.2,221.99,0.20999999999997954,13:40:33.896,4,global_ridge_trigger,-0.008065800107436266
AMZN,1900-01-01 13:41:00,BUY,221.9,221.65,0.25,13:41:19.202,0,global_ridge_trigger,0.0017779271192167878
AMZN,1900-01-01 13:42:00,BUY,221.69,221.69,0.0,13:42:00.337,3,fallback_twap_no_trigger,0.07795629750664859
AMZN,1900-01-01 13:43:00,BUY,222.15,222.15,0.0,13:43:00.001,3,fallback_twap_no_trigger,0.05133059102192852
AMZN,1900-01-01 13:44:00,BUY,222.04,221.9,0.13999999999998636,13:44:58.419,4,global_ridge_trigger,-0.00930866941563066
AMZN,1900-01-01 13:45:00,BUY,221.96,221.96,0.0,13:45:00.429,0,fallback_twap_no_trigger,0.03223285860440486
AMZN,1900-01-01 13:46:00,BUY,222.12,222.12,0.0,13:46:00.677,0,fallback_twap_no_trigger,0.08857499106886127
AMZN,1900-01-01 13:47:00,BUY,222.04,222.05,-0.010000000000019327,13:47:10.154,4,global_ridge_trigger,-0.011247847083619783
AMZN,1900-01-01 13:48:00,BUY,222.11,222.11,0.0,13:48:00.610,0,fallback_twap_no_trigger,0.04471970850941978
AMZN,1900-01-01 13:49:00,BUY,221.92,221.79,0.12999999999999545,13:49:51.808,0,global_ridge_trigger,0.003984716948497474
AMZN,1900-01-01 13:50:00,BUY,221.78,221.76,0.020000000000010232,13:50:08.327,0,global_ridge_trigger,-0.00481964188345782
AMZN,1900-01-01 13:51:00,BUY,221.69,221.66,0.030000000000001137,13:51:14.251,0,global_ridge_trigger,0.004256288801643443
AMZN,1900-01-01 13:52:00,BUY,221.91,221.91,0.0,13:52:00.042,3,fallback_twap_no_trigger,0.044326268275072384
