stock_name,execution_time
AMZN,2024-01-01 12:39:16
AMZN,2024-01-01 12:40:05
AMZN,2024-01-01 12:41:01
AMZN,2024-01-01 12:42:10
AMZN,2024-01-01 12:43:12
AMZN,2024-01-01 12:44:02
AMZN,2024-01-01 12:45:08
AMZN,2024-01-01 12:46:02
AMZN,2024-01-01 12:47:02
AMZN,2024-01-01 12:48:02
AMZN,2024-01-01 12:49:01
AMZN,2024-01-01 12:50:01
AMZN,2024-01-01 12:51:01
AMZN,2024-01-01 12:52:11
AMZN,2024-01-01 12:53:01
AMZN,2024-01-01 12:54:11
AMZN,2024-01-01 12:55:01
AMZN,2024-01-01 12:56:01
AMZN,2024-01-01 12:57:01
AMZN,2024-01-01 12:58:05
AMZN,2024-01-01 12:59:02
AMZN,2024-01-01 13:00:02
AMZN,2024-01-01 13:01:38
AMZN,2024-01-01 13:02:05
AMZN,2024-01-01 13:03:01
AMZN,2024-01-01 13:04:04
AMZN,2024-01-01 13:05:01
AMZN,2024-01-01 13:06:24
AMZN,2024-01-01 13:07:01
AMZN,2024-01-01 13:08:03
AMZN,2024-01-01 13:09:08
AMZN,2024-01-01 13:10:24
AMZN,2024-01-01 13:11:01
AMZN,2024-01-01 13:12:07
AMZN,2024-01-01 13:13:10
AMZN,2024-01-01 13:14:09
AMZN,2024-01-01 13:15:01
AMZN,2024-01-01 13:16:09
AMZN,2024-01-01 13:17:01
AMZN,2024-01-01 13:18:01
AMZN,2024-01-01 13:19:04
AMZN,2024-01-01 13:20:07
AMZN,2024-01-01 13:21:11
AMZN,2024-01-01 13:22:01
AMZN,2024-01-01 13:23:01
AMZN,2024-01-01 13:24:03
AMZN,2024-01-01 13:25:04
AMZN,2024-01-01 13:26:01
AMZN,2024-01-01 13:27:01
AMZN,2024-01-01 13:28:14
AMZN,2024-01-01 13:29:01
AMZN,2024-01-01 13:30:08
AMZN,2024-01-01 13:31:13
AMZN,2024-01-01 13:32:07
AMZN,2024-01-01 13:33:11
AMZN,2024-01-01 13:34:01
AMZN,2024-01-01 13:35:01
AMZN,2024-01-01 13:36:06
AMZN,2024-01-01 13:37:06
AMZN,2024-01-01 13:38:01
AMZN,2024-01-01 13:39:07
AMZN,2024-01-01 13:40:07
AMZN,2024-01-01 13:41:01
AMZN,2024-01-01 13:42:01
AMZN,2024-01-01 13:43:12
AMZN,2024-01-01 13:44:02
AMZN,2024-01-01 13:45:01
AMZN,2024-01-01 13:46:07
AMZN,2024-01-01 13:47:11
AMZN,2024-01-01 13:48:21
AMZN,2024-01-01 13:49:01
AMZN,2024-01-01 13:50:01
AMZN,2024-01-01 13:51:19
AMZN,2024-01-01 13:52:01
AMZN,2024-01-01 13:53:07
AMZN,2024-01-01 13:54:01
AMZN,2024-01-01 13:55:04
AMZN,2024-01-01 13:56:01
AMZN,2024-01-01 13:57:05
AMZN,2024-01-01 13:58:06
AMZN,2024-01-01 13:59:30
GOOG,2024-01-01 12:39:01
GOOG,2024-01-01 12:40:09
GOOG,2024-01-01 12:41:11
GOOG,2024-01-01 12:42:31
GOOG,2024-01-01 12:43:54
GOOG,2024-01-01 12:44:01
GOOG,2024-01-01 12:45:01
GOOG,2024-01-01 12:46:06
GOOG,2024-01-01 12:47:08
GOOG,2024-01-01 12:48:07
GOOG,2024-01-01 12:49:18
GOOG,2024-01-01 12:50:01
