strategy,sample,stock,n_minutes,TOTAL_ALGO_BUY,TOTAL_ALGO_SELL,TOTAL_TWAP_BUY,TOTAL_TWAP_SELL,ALGO_COST,TWAP_COST,PCT_IMPROVEMENT
Hierarchical Ridge + VWOF Filter,train,AMZN,270,60341.48,60318.0,60350.22,60312.64,23.4800000000032,37.580000000001746,37.519957424156175
Hierarchical Ridge + VWOF Filter,test,AMZN,120,26552.09,26543.63,26553.550000000003,26540.019999999997,8.459999999999127,13.530000000006112,37.47228381378193
Hierarchical Ridge + VWOF Filter,train,GOOG,270,154575.97999999998,154536.27999999997,154600.48,154520.91999999998,39.70000000001164,79.56000000002678,50.10055304173167
Hierarchical Ridge + VWOF Filter,test,GOOG,120,68017.65,68003.93,68025.14,67998.28,13.720000000001164,26.860000000000582,48.920327624717544
Hierarchical Ridge + VWOF Filter,train,INTC,270,7332.129999999999,7331.259999999999,7333.42,7330.66,0.8699999999998909,2.7600000000002183,68.47826086957167
Hierarchical Ridge + VWOF Filter,test,INTC,120,3212.7999999999997,3212.06,3213.16,3211.95,0.7399999999997817,1.2100000000000364,38.84297520663145
Hierarchical Ridge + VWOF Filter,train,MSFT,270,8283.55,8282.6,8284.83,8282.08,0.9499999999989086,2.75,65.45454545458514
Hierarchical Ridge + VWOF Filter,test,MSFT,120,3632.35,3631.79,3632.75,3631.55,0.5599999999999454,1.199999999999818,53.333333333330806
Hierarchical Ridge + VWOF Filter,train,AAPL,270,157900.26,157879.02999999997,157910.69,157865.79,21.23000000003958,44.89999999999418,52.7171492203957
Hierarchical Ridge + VWOF Filter,test,AAPL,120,69677.55,69671.44,69682.62000000001,69668.48000000001,6.110000000000582,14.139999999999418,56.78925035360089
