stock,horizon,quintile,avg_signal,avg_future_return,obs
AMZN,1s,1,-0.0002703972412055763,-1.2391897378208066e-06,3239
AMZN,1s,2,-5.650915166238889e-05,-2.5298021239615104e-06,3239
AMZN,1s,3,-1.6622732105850007e-06,-2.4307509586734287e-06,3238
AMZN,1s,4,5.499436750214171e-05,-7.055581369329411e-07,3238
AMZN,1s,5,0.00025638238351882313,4.017242070386161e-06,3239
AMZN,3s,1,-0.0002703972412055763,-1.1077844738230334e-06,3239
AMZN,3s,2,-5.650915166238889e-05,-6.561660503310075e-06,3239
AMZN,3s,3,-1.6673204849452497e-06,-1.051598297298811e-05,3237
AMZN,3s,4,5.498191964366422e-05,-4.5091385661584305e-07,3239
AMZN,3s,5,0.00025641131038339787,9.969481917203953e-06,3237
AMZN,5s,1,-0.00027044661938872047,-4.128144731999883e-06,3238
AMZN,5s,2,-5.65487328219585e-05,-5.972322211881623e-06,3238
AMZN,5s,3,-1.6883891139960142e-06,-1.3069551192692103e-05,3237
AMZN,5s,4,5.4957044380408815e-05,-5.832262502810965e-06,3241
AMZN,5s,5,0.0002564551514549744,1.4562061982743437e-05,3235
