stock,minute,signal_trigger_time,execution_time,execution_price,whether_forced_execution
AMZN,2024-01-01 09:30:00,2024-01-01 09:30:07,2024-01-01 09:30:08,224.07,False
AMZN,2024-01-01 09:31:00,2024-01-01 09:31:00,2024-01-01 09:31:01,224.35,False
AMZN,2024-01-01 09:32:00,2024-01-01 09:32:06,2024-01-01 09:32:07,223.89,False
AMZN,2024-01-01 09:33:00,2024-01-01 09:33:01,2024-01-01 09:33:02,223.79,False
AMZN,2024-01-01 09:34:00,2024-01-01 09:34:01,2024-01-01 09:34:02,224.2,False
AMZN,2024-01-01 09:35:00,2024-01-01 09:35:00,2024-01-01 09:35:01,224.32,False
AMZN,2024-01-01 09:36:00,2024-01-01 09:36:05,2024-01-01 09:36:06,223.99,False
AMZN,2024-01-01 09:37:00,2024-01-01 09:37:11,2024-01-01 09:37:12,224.15,False
AMZN,2024-01-01 09:38:00,2024-01-01 09:38:03,2024-01-01 09:38:04,224.16,False
AMZN,2024-01-01 09:39:00,2024-01-01 09:39:04,2024-01-01 09:39:05,223.97,False
AMZN,2024-01-01 09:40:00,2024-01-01 09:40:22,2024-01-01 09:40:23,224.01,False
AMZN,2024-01-01 09:41:00,2024-01-01 09:41:05,2024-01-01 09:41:06,224.41,False
AMZN,2024-01-01 09:42:00,2024-01-01 09:42:00,2024-01-01 09:42:01,224.18,False
AMZN,2024-01-01 09:43:00,2024-01-01 09:43:05,2024-01-01 09:43:06,223.99,False
AMZN,2024-01-01 09:44:00,2024-01-01 09:44:06,2024-01-01 09:44:07,223.94,False
AMZN,2024-01-01 09:45:00,2024-01-01 09:45:01,2024-01-01 09:45:02,223.77,False
AMZN,2024-01-01 09:46:00,2024-01-01 09:46:07,2024-01-01 09:46:08,223.66,False
AMZN,2024-01-01 09:47:00,2024-01-01 09:47:08,2024-01-01 09:47:09,223.73,False
AMZN,2024-01-01 09:48:00,2024-01-01 09:48:00,2024-01-01 09:48:01,223.81,False
AMZN,2024-01-01 09:49:00,2024-01-01 09:49:00,2024-01-01 09:49:01,224.1,False
AMZN,2024-01-01 09:50:00,2024-01-01 09:50:03,2024-01-01 09:50:04,223.99,False
AMZN,2024-01-01 09:51:00,2024-01-01 09:51:00,2024-01-01 09:51:01,223.95,False
AMZN,2024-01-01 09:52:00,2024-01-01 09:52:26,2024-01-01 09:52:27,224.09,False
AMZN,2024-01-01 09:53:00,2024-01-01 09:53:21,2024-01-01 09:53:22,224.41,False
